,Agegroup,Faregroup,count,mean,std,min,25%,50%,75%,max
0,0,0-99,60.0,0.616666666667,0.490301417728,0.0,0.0,1.0,1.0,1.0
1,0,100-199,2.0,0.5,0.707106781187,0.0,0.25,0.5,0.75,1.0
2,10,0-99,93.0,0.365591397849,0.484205899353,0.0,0.0,0.0,1.0,1.0
3,10,100-199,5.0,0.8,0.4472135955,0.0,1.0,1.0,1.0,1.0
4,10,200-299,4.0,0.75,0.5,0.0,0.75,1.0,1.0,1.0
5,20,0-99,210.0,0.338095238095,0.474191520951,0.0,0.0,0.0,1.0,1.0
6,20,100-199,4.0,0.5,0.57735026919,0.0,0.0,0.5,1.0,1.0
7,20,200-299,6.0,0.666666666667,0.516397779494,0.0,0.25,1.0,1.0,1.0
8,30,0-99,154.0,0.396103896104,0.490682213746,0.0,0.0,0.0,1.0,1.0
9,30,100-199,9.0,0.888888888889,0.333333333333,0.0,1.0,1.0,1.0,1.0
10,30,200-299,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
11,30,more than 500,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
12,40,0-99,82.0,0.341463414634,0.477118723614,0.0,0.0,0.0,1.0,1.0
13,40,100-199,5.0,0.8,0.4472135955,0.0,1.0,1.0,1.0,1.0
14,40,200-299,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
15,50,0-99,42.0,0.380952380952,0.491507434992,0.0,0.0,0.0,1.0,1.0
16,50,100-199,5.0,0.6,0.547722557505,0.0,0.0,1.0,1.0,1.0
17,50,200-299,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
18,60,0-99,18.0,0.333333333333,0.485071250073,0.0,0.0,0.0,1.0,1.0
19,60,200-299,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
20,70,0-99,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,80,0-99,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
22,null,0-99,172.0,0.28488372093,0.452676883294,0.0,0.0,0.0,1.0,1.0
23,null,100-199,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
24,null,200-299,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,all,0-99,838.0,0.361575178998,0.480743550893,0.0,0.0,0.0,1.0,1.0
1,all,100-199,33.0,0.757575757576,0.435194139889,0.0,1.0,1.0,1.0,1.0
2,all,200-299,17.0,0.647058823529,0.492592183072,0.0,0.0,1.0,1.0,1.0
3,all,more than 500,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
